biological_process_id,biological_process_name,associated_gene_wb_ids,count,splits
GO:0000002,mitochondrial genome maintenance,"WBGene00004028,WBGene00011662,WBGene00019800,WBGene00077500",4,none
GO:0000014,single-stranded DNA endodeoxyribonuclease activity,"WBGene00000787,WBGene00001016,WBGene00003405,WBGene00008140",4,none
GO:0000022,mitotic spindle elongation,"WBGene00002994,WBGene00006381",2,none
GO:0000027,ribosomal large subunit assembly,"WBGene00004416,WBGene00007617,WBGene00012692,WBGene00018898,WBGene00019678,WBGene00021830",6,none
GO:0000028,ribosomal small subunit assembly,"WBGene00004469,WBGene00004474,WBGene00004483,WBGene00004484,WBGene00004488,WBGene00004496,WBGene00004497,WBGene00008456,WBGene00013324,WBGene00013892,WBGene00018891",11,none
GO:0000036,acyl carrier activity,"WBGene00013237,WBGene00018151",2,none
GO:0000038,very long-chain fatty acid metabolic process,"WBGene00000991,WBGene00013284",2,none
GO:0000041,transition metal ion transport,"WBGene00004876,WBGene00004877,WBGene00004878",3,none
GO:0000045,autophagosome assembly,"WBGene00000247,WBGene00001994,WBGene00002980,WBGene00002981,WBGene00002982,WBGene00004266,WBGene00004278,WBGene00006520,WBGene00006786,WBGene00006932,WBGene00008427,WBGene00008432,WBGene00010882,WBGene00011292,WBGene00012559,WBGene00012641,WBGene00013595,WBGene00013643,WBGene00013695,WBGene00013859,WBGene00014080,WBGene00017045,WBGene00017178,WBGene00017999,WBGene00019427,WBGene00019748,WBGene00020324,WBGene00020334,WBGene00021922,WBGene00022078,WBGene00022152,WBGene00022381",32,none
GO:0000050,urea cycle,WBGene00020658,1,none
GO:0000054,ribosomal subunit export from nucleus,"WBGene00001234,WBGene00004302,WBGene00016907",3,none
GO:0000055,ribosomal large subunit export from nucleus,"WBGene00002078,WBGene00012030,WBGene00012676,WBGene00018898",4,none
GO:0000056,ribosomal small subunit export from nucleus,"WBGene00002078,WBGene00011944,WBGene00014078",3,none
GO:0000064,L-ornithine transmembrane transporter activity,WBGene00020422,1,none
GO:0000070,mitotic sister chromatid segregation,"WBGene00000264,WBGene00000868,WBGene00000875,WBGene00001085,WBGene00001087,WBGene00001829,WBGene00001831,WBGene00001832,WBGene00001833,WBGene00001869,WBGene00002276,WBGene00003159,WBGene00003210,WBGene00003367,WBGene00004166,WBGene00004738,WBGene00004747,WBGene00004874,WBGene00006540,WBGene00006974,WBGene00009254,WBGene00010036,WBGene00010093,WBGene00010425,WBGene00010785,WBGene00011415,WBGene00015515,WBGene00016202,WBGene00017641,WBGene00018900,WBGene00019953",31,none
GO:0000076,DNA replication checkpoint signaling,"WBGene00000413,WBGene00001997,WBGene00006571,WBGene00017738",4,none
GO:0000077,DNA damage checkpoint signaling,"WBGene00000018,WBGene00000226,WBGene00000537,WBGene00001865,WBGene00001997,WBGene00001998,WBGene00002027,WBGene00002042,WBGene00003417,WBGene00008367,WBGene00010067,WBGene00010120,WBGene00012302,WBGene00016944,WBGene00020442,WBGene00021474,WBGene00022512",17,none
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,"WBGene00013765,WBGene00017311,WBGene00017776,WBGene00022697",4,none
