Entry	WormBase	Gene Names	Organism
A0A061ACU2	C10C5.1a [A0A061ACU2-2];C10C5.1b [A0A061ACU2-3];C10C5.1c [A0A061ACU2-4];C10C5.1d [A0A061ACU2-5];C10C5.1e [A0A061ACU2-6];C10C5.1f [A0A061ACU2-7];C10C5.1g [A0A061ACU2-1];C10C5.1h [A0A061ACU2-8];C10C5.1i [A0A061ACU2-9];C10C5.1j [A0A061ACU2-10];C10C5.1k [A0A061ACU2-11];C10C5.1l [A0A061ACU2-12];	pezo-1 C10C5.1	Caenorhabditis elegans
A0A0K3AUE4	K10G6.3a [A0A0K3AUE4-2];K10G6.3b [A0A0K3AUE4-3];K10G6.3c [A0A0K3AUE4-4];K10G6.3d [A0A0K3AUE4-5];K10G6.3e [A0A0K3AUE4-6];K10G6.3f [A0A0K3AUE4-7];K10G6.3g [A0A0K3AUE4-1];K10G6.3h [A0A0K3AUE4-8];K10G6.3i [A0A0K3AUE4-9];K10G6.3j [A0A0K3AUE4-10];K10G6.3k [A0A0K3AUE4-11];K10G6.3l [A0A0K3AUE4-12];K10G6.3m [A0A0K3AUE4-13];K10G6.3n [A0A0K3AUE4-14];K10G6.3o [A0A0K3AUE4-15];K10G6.3p [A0A0K3AUE4-16];K10G6.3q [A0A0K3AUE4-17];K10G6.3r [A0A0K3AUE4-18];K10G6.3s [A0A0K3AUE4-19];	sea-2 K10G6.3	Caenorhabditis elegans
A0A0K3AUJ9	F09E5.15a [A0A0K3AUJ9-2];F09E5.15b [A0A0K3AUJ9-3];F09E5.15c [A0A0K3AUJ9-1];	prdx-2 prx2 tag-56 F09E5.15	Caenorhabditis elegans
A0A0K3AV08	K11D12.10a [A0A0K3AV08-2];K11D12.10b [A0A0K3AV08-3];K11D12.10c [A0A0K3AV08-1];K11D12.10d [A0A0K3AV08-4];	mlk-1 K11D12.10	Caenorhabditis elegans
A0A0K3AWM6	T23D8.1a [A0A0K3AWM6-2];T23D8.1b [A0A0K3AWM6-1];	mom-5 T23D8.1	Caenorhabditis elegans
A0A0K3AXH1	Y108G3AL.7a [A0A0K3AXH1-2];Y108G3AL.7b [A0A0K3AXH1-1];Y108G3AL.7c [A0A0K3AXH1-3];Y108G3AL.7d [A0A0K3AXH1-4];Y108G3AL.7e [A0A0K3AXH1-5];Y108G3AL.7f [A0A0K3AXH1-6];Y108G3AL.7g [A0A0K3AXH1-7];Y108G3AL.7h [A0A0K3AXH1-8];Y108G3AL.7i [A0A0K3AXH1-9];	arid-1 Y108G3AL.7	Caenorhabditis elegans
A0A131MCZ8	C33D12.2a [A0A131MCZ8-1];C33D12.2b [A0A131MCZ8-2];C33D12.2c [A0A131MCZ8-3];C33D12.2d [A0A131MCZ8-4];	cnnm-3 C33D12.2	Caenorhabditis elegans
A0A163UT06	T21B10.5a [A0A163UT06-1];T21B10.5b [A0A163UT06-2];	set-17 T21B10.5	Caenorhabditis elegans
A0A1C3NSL9	C25A11.4a [A0A1C3NSL9-10];C25A11.4d [A0A1C3NSL9-8];C25A11.4e [A0A1C3NSL9-2];C25A11.4f [A0A1C3NSL9-6];C25A11.4g [A0A1C3NSL9-9];C25A11.4h [A0A1C3NSL9-7];C25A11.4i [A0A1C3NSL9-11];C25A11.4j [A0A1C3NSL9-3];C25A11.4k [A0A1C3NSL9-1];C25A11.4l [A0A1C3NSL9-5];C25A11.4m [A0A1C3NSL9-4];	ajm-1 C25A11.4 CELE_C25A11.4	Caenorhabditis elegans
A0A2K5ATM0	C54G4.1d;	rskn-2 C54G4.1 CELE_C54G4.1	Caenorhabditis elegans
A0A2K5ATN2	C54G4.1c;	rskn-2 C54G4.1 CELE_C54G4.1	Caenorhabditis elegans
A0A5E4M3Q4	ZK867.1b [A0A5E4M3Q4-2];ZK867.1c [A0A5E4M3Q4-3];ZK867.1d [A0A5E4M3Q4-4];ZK867.1e [A0A5E4M3Q4-5];ZK867.1f [A0A5E4M3Q4-1];	syd-9 tag-239 ztf-10 ZK867.1	Caenorhabditis elegans
